,Unnamed: 0,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,user_type_cat,duration_trim,duration_time,ride_date,ride_id
0,0,12 minutes,81,Berry St at 4th St,323,Broadway at Kearny,5480,2,1959,Male,29,2,12 ,12,2018-01-16,416351
1,1,24 minutes,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,2,1965,Male,27,2,24 ,24,2019-03-27,485747
2,2,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,3,1993,Male,26,3,8 ,8,2015-09-16,150779
3,3,4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,1,1979,Male,27,1,4 ,4,2019-05-11,386060
4,4,11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4626,2,1994,Male,27,2,11 ,11,2019-08-15,116180
5,5,10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,2,1979,Male,26,2,10 ,10,2017-04-14,15131
6,6,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),107,17th St at Dolores St,1035,2,1981,Male,27,2,16 ,16,2015-01-06,173794
7,7,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5286,2,1991,Male,27,2,9 ,9,2018-03-08,160885
8,8,21 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2124,1,1982,Female,27,1,21 ,21,2022-11-28,402641
9,9,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,333,1,1994,Male,29,1,5 ,5,2019-03-23,210664
10,10,19 minutes,81,Berry St at 4th St,16,Steuart St at Market St,1883,2,1983,Male,26,2,19 ,19,2020-12-20,442334
11,11,6 minutes,3,Powell St BART Station (Market St at 4th St),26,1st St at Folsom St,5331,1,1990,Male,29,1,6 ,6,2021-01-07,22190
12,12,7 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,1863,3,1998,Male,26,3,7 ,7,2019-10-12,269021
13,13,187 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),355,23rd St at Tennessee St,674,2,1987,Female,29,2,187 ,187,2015-04-29,181736
14,14,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),74,Laguna St at Hayes St,5487,2,1997,Male,27,2,13 ,13,2017-12-14,139246
15,15,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,1606,2,1995,Male,27,2,4 ,4,2017-11-24,70039
16,16,32 minutes,22,Howard St at Beale St,122,19th St at Mission St,3661,3,1990,Male,27,3,32 ,32,2021-07-02,400801
17,17,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,4969,3,1964,Male,27,3,5 ,5,2022-03-19,11551
18,18,16 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5000,2,2000,Female,27,2,16 ,16,2015-07-12,491943
19,19,17 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5230,2,2000,Male,29,2,17 ,17,2015-02-27,453047
20,20,16 minutes,16,Steuart St at Market St,58,Market St at 10th St,2033,3,1998,Male,29,3,16 ,16,2018-11-26,2677
21,21,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,5055,3,1986,Male,26,3,11 ,11,2015-02-25,122409
